CSVv2; OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.018383314833045006" 
0, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))-0.022504881024360657" 
0, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.063606932759284973" 
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.034989029169082642" 
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.033047597855329514" 
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.034643515944480896" 
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.033017721027135849" 
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.028828304260969162" 
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.045852780342102051" 
0, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.045958288013935089" 
0, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.056262202560901642" 
0, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.025442773476243019" 
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.013995612040162086" 
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.01321903895586729" 
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.013857406564056873" 
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.013207088224589825" 
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.011531321331858635" 
0, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.01834111288189888" 
0, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.018383314833045006" 
0, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.884016*((1.+(0.0331508*x))/(1.+(0.0285096*x))))+0.022504881024360657" 
1, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x)))" 
1, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x)))" 
1, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.12166473269462585" 
1, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.055085029453039169" 
1, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.048597507178783417" 
1, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.043902803212404251" 
1, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.042596768587827682" 
1, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.049642853438854218" 
1, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.06421864777803421" 
1, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.070689648389816284" 
1, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.10414865612983704" 
1, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.040554910898208618" 
1, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.01836167648434639" 
1, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.016199169680476189" 
1, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.014634267427027225" 
1, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.014198922552168369" 
1, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.016547618433833122" 
1, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.02140621654689312" 
1, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.023563217371702194" 
1, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))-0.034716218709945679" 
1, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.12166473269462585" 
1, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.055085029453039169" 
1, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.048597507178783417" 
1, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.043902803212404251" 
1, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.042596768587827682" 
1, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.049642853438854218" 
1, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.06421864777803421" 
1, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.070689648389816284" 
1, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.10414865612983704" 
1, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.040554910898208618" 
1, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.01836167648434639" 
1, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.016199169680476189" 
1, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.014634267427027225" 
1, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.014198922552168369" 
1, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.016547618433833122" 
1, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.02140621654689312" 
1, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.023563217371702194" 
1, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.718014*((1.+(0.0685826*x))/(1.+(0.0475779*x))))+0.034716218709945679" 
2, mujets, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x)))" 
2, mujets, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x)))" 
2, mujets, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.12066856026649475" 
2, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.079742610454559326" 
2, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.073544494807720184" 
2, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.059891223907470703" 
2, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.059213291853666306" 
2, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.058427996933460236" 
2, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.099112451076507568" 
2, mujets, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.11530528217554092" 
2, mujets, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.19122670590877533" 
2, mujets, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.034476730972528458" 
2, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.022783603519201279" 
2, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.021012712270021439" 
2, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.017111778259277344" 
2, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.016918083652853966" 
2, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.016693713143467903" 
2, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.02831784263253212" 
2, mujets, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.032944366335868835" 
2, mujets, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))-0.054636202752590179" 
2, mujets, up, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.12066856026649475" 
2, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.079742610454559326" 
2, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.073544494807720184" 
2, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.059891223907470703" 
2, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.059213291853666306" 
2, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.058427996933460236" 
2, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.099112451076507568" 
2, mujets, up, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.11530528217554092" 
2, mujets, up, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.19122670590877533" 
2, mujets, up, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.034476730972528458" 
2, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.022783603519201279" 
2, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.021012712270021439" 
2, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.017111778259277344" 
2, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.016918083652853966" 
2, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.016693713143467903" 
2, mujets, up, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.02831784263253212" 
2, mujets, up, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.032944366335868835" 
2, mujets, up, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.849497*((1.+(0.01854*x))/(1.+(0.0153613*x))))+0.054636202752590179" 
0, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x)))" 
0, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x)))" 
0, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.063454590737819672" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.031410016119480133" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.02891194075345993" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.028121808543801308" 
